attr_name	Tumor_breast_1	Tumor_breast_8	Tumor_breast_2	Tumor_breast_9	Tumor_breast_3	Tumor_breast_10	Tumor_breast_4	Tumor_breast_11	Tumor_breast_5	Tumor_breast_12	Tumor_breast_6	Tumor_breast_13	Tumor_breast_7	Tumor_breast_14	Tumor_breast_15
LGI4	6.97727992349992	7.78790255939143	8.09275714091985	5.55458885167764	6.62935662007961	4.85798099512757	5.08746284125034	7.78135971352466	6.56985560833095	6.7279204545632	6.52356195605701	5.58496250072116	6.4594316186373	7.91288933622996	6.02236781302845
AK5	5.4262647547021	8.08746284125034	6.8703647195834	7.90086680798075	5.78135971352466	3.16992500144231	4.32192809488736	8.71080643369935	5.70043971814109	5.78135971352466	9.06069593168755	10.791162888555	10.7030383889864	7.61470984411521	8
CDH12	2.32192809488736	0	1	1	1	1	1.58496250072116	1	6.39231742277876	0	4.16992500144231	2.32192809488736	0	1.58496250072116	2
GAL3ST2	8.51963625284321	3.32192809488736	2.58496250072116	2	7.48381577726426	3.4594316186373	4	3.58496250072116	2.58496250072116	0	4.58496250072116	3.4594316186373	7.43462822763672	4.85798099512757	4.95419631038687
ABCA9	6.8703647195834	7.6724253419715	6.39231742277876	6.20945336562895	5.93073733756289	3.70043971814109	4.39231742277876	6	5.04439411935845	5.88264304936184	9.66888498426625	7.4594316186373	7.97727992349992	8.16490692667569	6.90689059560852
ABCA6	6.52356195605701	7.85174904141606	8.09803208296053	7.56985560833095	5.8073549220576	4.58496250072116	5.75488750216347	8.49585502688717	5.16992500144231	7.51569983828404	9.8073549220576	6.22881869049588	9.06339508128851	8.76818432477693	8.01680828768655
ABCA10	6.4093909361377	6.74146698640115	5.4594316186373	4.8073549220576	3.70043971814109	4.32192809488736	5.08746284125034	2.8073549220576	3.70043971814109	5.64385618977472	7.79441586635011	7.45121111183233	6.70043971814109	6.8703647195834	5.58496250072116
C10orf90	0	2.32192809488736	3.8073549220576	2	1.58496250072116	3	4.95419631038687	2	2.32192809488736	1	3	0	2.8073549220576	4.32192809488736	2.58496250072116
CNTNAP3B	2.58496250072116	5.64385618977472	3.32192809488736	2.32192809488736	3.8073549220576	4.85798099512757	2.8073549220576	3.90689059560852	1.58496250072116	1.58496250072116	5.04439411935845	1	3.70043971814109	4.16992500144231	3.32192809488736
PDE1C	5.52356195605701	7.49185309632967	7.58496250072116	6.33985000288462	5.64385618977472	3.90689059560852	4.32192809488736	6.82017896241519	8.74146698640115	6.84549005094437	8.18487534290828	5.04439411935845	6.5077946401987	6.94251450533924	6.68650052718322
ADAMTS1	9.9901039638575	11.0721326041672	11.8970891283128	8.70735913208088	9.16741814583174	9.99859042974533	10.8241632097442	11.5386739530827	9.74146698640115	9.70735913208088	11.3788367132106	11.0734721539765	9.89481776330794	11.5636729598275	9.62021982550749
ADAMTS5	8.02236781302845	9.57742882803575	9.86263735755879	7.73470962022584	7.85798099512757	9.13955135239879	6.59991284218713	10.2082343583398	9.23840473932508	9.57742882803575	10.3520434257954	6.76818432477693	11.0154150523867	9.9957671508778	8.2807707701306
SKA1	7.98868468677217	7.94251450533924	9.09275714091985	7.59991284218713	9.02513956227851	9.94982671075911	10.0334230015375	10.4335854411505	9.94104760634058	8.03342300153745	9.06877827798541	10.1623913287569	7.71424551766612	8.09803208296053	8.91587937883577
EME1	11.1904420187828	8.2336196767597	7.18982455888002	7.51569983828404	9.59618975614441	7.04439411935845	9.319672120947	8.69696752623429	7.83920378809694	6.88264304936184	8.01122725542325	10.1661630826461	6.55458885167764	7.02236781302845	7.70043971814109
EPHB1	6	6.24792751344359	7.02236781302845	5.6724253419715	5.78135971352466	6.83289001416474	8.15987133677839	7.4757334309664	4.95419631038687	6.12928301694497	7	5.24792751344359	6.5077946401987	6.85798099512757	5.90689059560852
SLC24A2	5.7279204545632	9.32192809488736	9.91288933622996	8.38801728534514	5.61470984411521	5.6724253419715	3.16992500144231	9.67065624911844	6.08746284125034	8.13442632022093	10.4146852358072	4.4594316186373	11.2497060569697	9.17242750864548	8.60362634498619
ADCY8	1	0	1.58496250072116	0	2	0	1	1.58496250072116	0	9.97297978606629	1	0	0	1.58496250072116	0
RAET1L	0	2.58496250072116	2.58496250072116	1	1	7.09803208296053	5.20945336562895	4.24792751344359	6.61470984411521	0	2.32192809488736	8.58496250072116	2	7.15987133677839	0
WIF1	4	6.56985560833095	3.32192809488736	2.8073549220576	2	1	0	2.8073549220576	5.32192809488736	3.16992500144231	5.12928301694497	1	1	4.52356195605701	0
CXCL13	9.95855271543101	7.36632221424582	7.98299357469431	5.52356195605701	7.94836723158468	7.61470984411521	11.5980525001616	10.2143191208008	11.6257088430645	10.3717766443379	7.78790255939143	10.0279059965699	7.57742882803575	6.4757334309664	7.40087943628218
TSPAN7	6.88264304936184	9.12670447284319	9.21431912080077	7.4757334309664	7.07681559705083	6.20945336562895	6.59991284218713	8.07681559705083	3.90689059560852	8.29462074889163	7.17990909001493	6.14974711950468	8.33091687811462	9.59058704991503	7.11894107272351
FUT6	4.90689059560852	3.70043971814109	1	2.58496250072116	1.58496250072116	1.58496250072116	3.90689059560852	1	1.58496250072116	1.58496250072116	3.16992500144231	10.0443941193585	1.58496250072116	4.39231742277876	2
LRFN2	6.4594316186373	5.28540221886225	7.31288295528436	7.32192809488736	3.90689059560852	0	1	5.85798099512757	1	4.08746284125034	5.16992500144231	5.97727992349992	5.04439411935845	4.58496250072116	4.4594316186373
ADGRG4	0	0	1.58496250072116	0	0	0	1	0	0	1	0	0	0	1.58496250072116	0
BUB1B	8.68999797141945	9.10590850857116	9.95128471496697	9.58120058192496	10.3772105303886	11.0416591516372	10.791162888555	10.9729797860663	10.3398500028846	9.76487159073609	10.515699838284	10.7498694273968	8.7176764230664	8.876516946565	10.2609195336629
